 Title:, Electrical Test Report -Final
 Page Number:, _PAGE_

 Title:, Test Results Provided By

 Operator:, Test Engineer
 S/N:, retest 4-7
 Final Test Result:, Failed
 Run Number:, 9
 Cable Number:, 1
 Test Date:, 5/30/2024
 Test Time:, 9:03:13 PM
 Retry Count:, 1
 Test Name:, L1_Barrel_Power_F1_Connectivity
 Lot ID:, 

 Title:, Test Parameters

 Wire Resistance:, 10.0 Ohm
 Shorts Test Resistance:, 100 kOhm

 Title:, HV Test Parameters

 DW Voltage:, Off
 IR Voltage:, Off

 Title:, Nets Hipot Status

 Name, Test Method, Measured IR, DW Total Current, DW Real Current

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Expected 2, Measured 2, Instruction Detail
 39, WIRE, J11-058,"J13-004, J15-001", , , , , Net Net12: OPEN J11-058 to J13-004 J15-001
 40, WIRE, J11-061,"J11-063, J15-014", , , , , Net Net13: OPEN J11-061 to J11-063 J15-014
 41, WIRE, J13-001,"J13-002, J13-003, J13-005, J13-006, J13-009", , , , , Net Net14: OPEN J13-001 to J13-002 J13-003 J13-005 J13-006 J13-009 J13-010 J13-011 J13-012 J13-013 J13-014 J13-016 J13-017 J13-0
 41, , ,"J13-010, J13-011, J13-012, J13-013, J13-014", , , , , 
 41, , ,"J13-016, J13-017, J13-018, J13-019, J13-020", , , , , 
 41, , ,"J13-021, J13-022, J13-023, J13-024, J13-025", , , , , 
 41, , ,"J13-028, J13-029, J13-032, J13-033, J13-036", , , , , 
 41, , ,"J13-037, J13-038, J13-039, J13-040, J13-041", , , , , 
 41, , ,"J13-042, J13-044, J13-045, J13-047, J13-048", , , , , 
 41, , ,"J13-049, J13-050, J13-051, J13-052, J15-002", , , , , 
 41, , ,"J15-003, J15-004, J15-007, J15-008, J15-009", , , , , 
 41, , ,"J15-010, J15-011, J15-012, J15-015, J15-016", , , , , 
 41, , ,"J15-017, J15-018, J15-019, J15-020, J15-021", , , , , 
 41, , ,"J15-023, J15-024, J15-025, J15-026, J15-028", , , , , 
 41, , ,"J15-029, J15-032, J15-033, J15-034, J15-035", , , , , 
 41, , ,"J15-036, J15-037, J15-040, J15-041, J15-042", , , , , 
 41, , ,"J15-044, J15-045, J15-046, J15-047, J15-048", , , , , 
 41, , ,"J15-049, J15-050, J15-052", , , , , 
 42, WIRE, J13-008, J15-005, , , , , Net Net15: OPEN J13-008 to J15-005
 43, WIRE, J13-034,"J13-063, J13-064", , , , , Net Net16: OPEN J13-034 to J13-063 J13-064
 44, WIRE, J13-060, J13-062, , , , , Net Net17: OPEN J13-060 to J13-062
 45, WIRE, J15-043,"J15-061, J15-063", , , , , Net Net18: OPEN J15-043 to J15-061 J15-063

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, WIRE, J1-016, J1-026, Not tested, 10.0 Ohm, Not tested
 2, WIRE, J1-020, J1-022, Not tested, 10.0 Ohm, Not tested
 3, WIRE, J3-015, J3-025, Not tested, 10.0 Ohm, Not tested
 4, WIRE, J3-019, J3-021, Not tested, 10.0 Ohm, Not tested
 5, WIRE, J11-010, J11-012, Not tested, 10.0 Ohm, Not tested
 6, WIRE, J11-012, J13-007, Not tested, 10.0 Ohm, Not tested
 7, WIRE, J13-007, J13-031, Not tested, 10.0 Ohm, Not tested
 8, WIRE, J11-014, J11-016, Not tested, 10.0 Ohm, Not tested
 9, WIRE, J11-016, J11-028, Not tested, 10.0 Ohm, Not tested
 10, WIRE, J11-028, J11-030, Not tested, 10.0 Ohm, Not tested
 11, WIRE, J11-030, J11-032, Not tested, 10.0 Ohm, Not tested
 12, WIRE, J11-018, J11-020, Not tested, 10.0 Ohm, Not tested
 13, WIRE, J11-020, J15-031, Not tested, 10.0 Ohm, Not tested
 14, WIRE, J11-022, J11-024, Not tested, 10.0 Ohm, Not tested
 15, WIRE, J11-024, J11-034, Not tested, 10.0 Ohm, Not tested
 16, WIRE, J11-034, J11-036, Not tested, 10.0 Ohm, Not tested
 17, WIRE, J11-036, J11-045, Not tested, 10.0 Ohm, Not tested
 18, WIRE, J11-045, J11-047, Not tested, 10.0 Ohm, Not tested
 19, WIRE, J11-047, J11-049, Not tested, 10.0 Ohm, Not tested
 20, WIRE, J11-049, J11-051, Not tested, 10.0 Ohm, Not tested
 21, WIRE, J11-051, J11-052, Not tested, 10.0 Ohm, Not tested
 22, WIRE, J11-026, J11-055, Not tested, 10.0 Ohm, Not tested
 23, WIRE, J11-055, J13-026, Not tested, 10.0 Ohm, Not tested
 24, WIRE, J13-026, J15-013, Not tested, 10.0 Ohm, Not tested
 25, WIRE, J11-056, J15-006, Not tested, 10.0 Ohm, Not tested
 26, WIRE, J11-057, J11-059, Not tested, 10.0 Ohm, Not tested
 27, WIRE, J11-059, J11-062, Not tested, 10.0 Ohm, Not tested
 28, WIRE, J11-062, J13-053, Not tested, 10.0 Ohm, Not tested
 29, WIRE, J13-053, J13-054, Not tested, 10.0 Ohm, Not tested
 30, WIRE, J13-054, J13-055, Not tested, 10.0 Ohm, Not tested
 31, WIRE, J13-055, J13-056, Not tested, 10.0 Ohm, Not tested
 32, WIRE, J13-056, J13-057, Not tested, 10.0 Ohm, Not tested
 33, WIRE, J13-057, J13-058, Not tested, 10.0 Ohm, Not tested
 34, WIRE, J13-058, J13-059, Not tested, 10.0 Ohm, Not tested
 35, WIRE, J13-059, J13-061, Not tested, 10.0 Ohm, Not tested
 36, WIRE, J13-061, J15-051, Not tested, 10.0 Ohm, Not tested
 37, WIRE, J15-051, J15-053, Not tested, 10.0 Ohm, Not tested
 38, WIRE, J15-053, J15-054, Not tested, 10.0 Ohm, Not tested
 39, WIRE, J15-054, J15-055, Not tested, 10.0 Ohm, Not tested
 40, WIRE, J15-055, J15-056, Not tested, 10.0 Ohm, Not tested
 41, WIRE, J15-056, J15-057, Not tested, 10.0 Ohm, Not tested
 42, WIRE, J15-057, J15-058, Not tested, 10.0 Ohm, Not tested
 43, WIRE, J15-058, J15-059, Not tested, 10.0 Ohm, Not tested
 44, WIRE, J15-059, J15-060, Not tested, 10.0 Ohm, Not tested
 45, WIRE, J15-060, J15-062, Not tested, 10.0 Ohm, Not tested
 46, WIRE, J15-062, J15-064, Not tested, 10.0 Ohm, Not tested
 47, WIRE, J11-058, J13-004, Not tested, 10.0 Ohm, Not tested
 48, WIRE, J13-004, J15-001, Not tested, 10.0 Ohm, Not tested
 49, WIRE, J11-061, J11-063, Not tested, 10.0 Ohm, Not tested
 50, WIRE, J11-063, J15-014, Not tested, 10.0 Ohm, Not tested
 51, WIRE, J13-001, J13-002, Not tested, 10.0 Ohm, Not tested
 52, WIRE, J13-002, J13-003, Not tested, 10.0 Ohm, Not tested
 53, WIRE, J13-003, J13-005, Not tested, 10.0 Ohm, Not tested
 54, WIRE, J13-005, J13-006, Not tested, 10.0 Ohm, Not tested
 55, WIRE, J13-006, J13-009, Not tested, 10.0 Ohm, Not tested
 56, WIRE, J13-009, J13-010, Not tested, 10.0 Ohm, Not tested
 57, WIRE, J13-010, J13-011, Not tested, 10.0 Ohm, Not tested
 58, WIRE, J13-011, J13-012, Not tested, 10.0 Ohm, Not tested
 59, WIRE, J13-012, J13-013, Not tested, 10.0 Ohm, Not tested
 60, WIRE, J13-013, J13-014, Not tested, 10.0 Ohm, Not tested
 61, WIRE, J13-014, J13-016, Not tested, 10.0 Ohm, Not tested
 62, WIRE, J13-016, J13-017, Not tested, 10.0 Ohm, Not tested
 63, WIRE, J13-017, J13-018, Not tested, 10.0 Ohm, Not tested
 64, WIRE, J13-018, J13-019, Not tested, 10.0 Ohm, Not tested
 65, WIRE, J13-019, J13-020, Not tested, 10.0 Ohm, Not tested
 66, WIRE, J13-020, J13-021, Not tested, 10.0 Ohm, Not tested
 67, WIRE, J13-021, J13-022, Not tested, 10.0 Ohm, Not tested
 68, WIRE, J13-022, J13-023, Not tested, 10.0 Ohm, Not tested
 69, WIRE, J13-023, J13-024, Not tested, 10.0 Ohm, Not tested
 70, WIRE, J13-024, J13-025, Not tested, 10.0 Ohm, Not tested
 71, WIRE, J13-025, J13-028, Not tested, 10.0 Ohm, Not tested
 72, WIRE, J13-028, J13-029, Not tested, 10.0 Ohm, Not tested
 73, WIRE, J13-029, J13-032, Not tested, 10.0 Ohm, Not tested
 74, WIRE, J13-032, J13-033, Not tested, 10.0 Ohm, Not tested
 75, WIRE, J13-033, J13-036, Not tested, 10.0 Ohm, Not tested
 76, WIRE, J13-036, J13-037, Not tested, 10.0 Ohm, Not tested
 77, WIRE, J13-037, J13-038, Not tested, 10.0 Ohm, Not tested
 78, WIRE, J13-038, J13-039, Not tested, 10.0 Ohm, Not tested
 79, WIRE, J13-039, J13-040, Not tested, 10.0 Ohm, Not tested
 80, WIRE, J13-040, J13-041, Not tested, 10.0 Ohm, Not tested
 81, WIRE, J13-041, J13-042, Not tested, 10.0 Ohm, Not tested
 82, WIRE, J13-042, J13-044, Not tested, 10.0 Ohm, Not tested
 83, WIRE, J13-044, J13-045, Not tested, 10.0 Ohm, Not tested
 84, WIRE, J13-045, J13-047, Not tested, 10.0 Ohm, Not tested
 85, WIRE, J13-047, J13-048, Not tested, 10.0 Ohm, Not tested
 86, WIRE, J13-048, J13-049, Not tested, 10.0 Ohm, Not tested
 87, WIRE, J13-049, J13-050, Not tested, 10.0 Ohm, Not tested
 88, WIRE, J13-050, J13-051, Not tested, 10.0 Ohm, Not tested
 89, WIRE, J13-051, J13-052, Not tested, 10.0 Ohm, Not tested
 90, WIRE, J13-052, J15-002, Not tested, 10.0 Ohm, Not tested
 91, WIRE, J15-002, J15-003, Not tested, 10.0 Ohm, Not tested
 92, WIRE, J15-003, J15-004, Not tested, 10.0 Ohm, Not tested
 93, WIRE, J15-004, J15-007, Not tested, 10.0 Ohm, Not tested
 94, WIRE, J15-007, J15-008, Not tested, 10.0 Ohm, Not tested
 95, WIRE, J15-008, J15-009, Not tested, 10.0 Ohm, Not tested
 96, WIRE, J15-009, J15-010, Not tested, 10.0 Ohm, Not tested
 97, WIRE, J15-010, J15-011, Not tested, 10.0 Ohm, Not tested
 98, WIRE, J15-011, J15-012, Not tested, 10.0 Ohm, Not tested
 99, WIRE, J15-012, J15-015, Not tested, 10.0 Ohm, Not tested
 100, WIRE, J15-015, J15-016, Not tested, 10.0 Ohm, Not tested
 101, WIRE, J15-016, J15-017, Not tested, 10.0 Ohm, Not tested
 102, WIRE, J15-017, J15-018, Not tested, 10.0 Ohm, Not tested
 103, WIRE, J15-018, J15-019, Not tested, 10.0 Ohm, Not tested
 104, WIRE, J15-019, J15-020, Not tested, 10.0 Ohm, Not tested
 105, WIRE, J15-020, J15-021, Not tested, 10.0 Ohm, Not tested
 106, WIRE, J15-021, J15-023, Not tested, 10.0 Ohm, Not tested
 107, WIRE, J15-023, J15-024, Not tested, 10.0 Ohm, Not tested
 108, WIRE, J15-024, J15-025, Not tested, 10.0 Ohm, Not tested
 109, WIRE, J15-025, J15-026, Not tested, 10.0 Ohm, Not tested
 110, WIRE, J15-026, J15-028, Not tested, 10.0 Ohm, Not tested
 111, WIRE, J15-028, J15-029, Not tested, 10.0 Ohm, Not tested
 112, WIRE, J15-029, J15-032, Not tested, 10.0 Ohm, Not tested
 113, WIRE, J15-032, J15-033, Not tested, 10.0 Ohm, Not tested
 114, WIRE, J15-033, J15-034, Not tested, 10.0 Ohm, Not tested
 115, WIRE, J15-034, J15-035, Not tested, 10.0 Ohm, Not tested
 116, WIRE, J15-035, J15-036, Not tested, 10.0 Ohm, Not tested
 117, WIRE, J15-036, J15-037, Not tested, 10.0 Ohm, Not tested
 118, WIRE, J15-037, J15-040, Not tested, 10.0 Ohm, Not tested
 119, WIRE, J15-040, J15-041, Not tested, 10.0 Ohm, Not tested
 120, WIRE, J15-041, J15-042, Not tested, 10.0 Ohm, Not tested
 121, WIRE, J15-042, J15-044, Not tested, 10.0 Ohm, Not tested
 122, WIRE, J15-044, J15-045, Not tested, 10.0 Ohm, Not tested
 123, WIRE, J15-045, J15-046, Not tested, 10.0 Ohm, Not tested
 124, WIRE, J15-046, J15-047, Not tested, 10.0 Ohm, Not tested
 125, WIRE, J15-047, J15-048, Not tested, 10.0 Ohm, Not tested
 126, WIRE, J15-048, J15-049, Not tested, 10.0 Ohm, Not tested
 127, WIRE, J15-049, J15-050, Not tested, 10.0 Ohm, Not tested
 128, WIRE, J15-050, J15-052, Not tested, 10.0 Ohm, Not tested
 129, WIRE, J13-008, J15-005, Not tested, 10.0 Ohm, Not tested
 130, WIRE, J13-034, J13-063, Not tested, 10.0 Ohm, Not tested
 131, WIRE, J13-063, J13-064, Not tested, 10.0 Ohm, Not tested
 132, WIRE, J13-060, J13-062, Not tested, 10.0 Ohm, Not tested
 133, WIRE, J15-043, J15-061, Not tested, 10.0 Ohm, Not tested
 134, WIRE, J15-061, J15-063, Not tested, 10.0 Ohm, Not tested

