!CSV A.01.01
!Keysight Technologies,N5231B,MY58421610,A.17.35.05
!Date: Tuesday, August 13, 2024 16:42:49
!Source: Standard

BEGIN CH1_DATA
Time(s),Tdd11(REAL),Tdd11(IMAG),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S13(REAL),S13(IMAG),S14(REAL),S14(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG),S23(REAL),S23(IMAG),S24(REAL),S24(IMAG),S31(REAL),S31(IMAG),S32(REAL),S32(IMAG),S33(REAL),S33(IMAG),S34(REAL),S34(IMAG),S41(REAL),S41(IMAG),S42(REAL),S42(IMAG),S43(REAL),S43(IMAG),S44(REAL),S44(IMAG)
1.3e-010,0.044331852,0,0.050950907,0,0.0038170009,0,0.02624527,0,0.0030010545,0,0.0038206261,0,0.04532307,0,0.0029774187,0,-0.0066612158,0,0.026416129,0,0.002982114,0,0.016562754,0,-0.0035434852,0,0.0029961288,0,-0.0067071673,0,-0.0035349606,0,0.1226402,0
1.4e-010,0.044330552,0,0.050971027,0,0.0038211329,0,0.026332611,0,0.0030435077,0,0.0038248198,0,0.045307111,0,0.003003651,0,-0.0066356421,0,0.026506387,0,0.0030059812,0,0.016438149,0,-0.0035675364,0,0.0030348953,0,-0.006680578,0,-0.003557554,0,0.12268525,0
1.5e-010,0.044294767,0,0.05099526,0,0.0038174521,0,0.02641763,0,0.0030864344,0,0.0038200393,0,0.045201421,0,0.0030388779,0,-0.0066116182,0,0.026595213,0,0.0030383733,0,0.016295055,0,-0.0036364889,0,0.003073791,0,-0.0066552698,0,-0.0036257938,0,0.12283114,0
1.6e-010,0.044234201,0,0.051028408,0,0.003801937,0,0.026501276,0,0.0031274825,0,0.0038027118,0,0.045013472,0,0.0030822689,0,-0.0065919752,0,0.026683206,0,0.0030794153,0,0.016198577,0,-0.003698708,0,0.0031109639,0,-0.0066341939,0,-0.0036880928,0,0.12298783,0
1.7e-010,0.04417384,0,0.051070396,0,0.0037786546,0,0.0265854,0,0.0031656274,0,0.0037776211,0,0.044802155,0,0.0031273668,0,-0.0065766536,0,0.02677221,0,0.0031235691,0,0.016171906,0,-0.0037063442,0,0.0031457606,0,-0.0066172602,0,-0.0036964063,0,0.12303155,0
1.8e-010,0.044139516,0,0.051111385,0,0.0037569208,0,0.026671192,0,0.0032017555,0,0.0037548018,0,0.044648163,0,0.0031662683,0,-0.0065632393,0,0.026862588,0,0.0031633922,0,0.016193658,0,-0.003647822,0,0.0031792496,0,-0.0066020847,0,-0.0036389481,0,0.1228933,0
1.9e-010,0.044142641,0,0.051133748,0,0.0037450527,0,0.026758714,0,0.0032379818,0,0.0037428723,0,0.044608228,0,0.0031948534,0,-0.0065489607,0,0.026954096,0,0.003194561,0,0.016224446,0,-0.0035559826,0,0.0032135844,0,-0.0065856879,0,-0.0035483802,0,0.12262401,0
2e-010,0.044173792,0,0.051121455,0,0.00374453,0,0.026846472,0,0.0032762066,0,0.0037432141,0,0.044681877,0,0.0032155996,0,-0.0065317317,0,0.027044412,0,0.003218757,0,0.016241606,0,-0.0034861336,0,0.0032506264,0,-0.0065665189,0,-0.0034799816,0,0.12238882,0
2.1e-010,0.044209376,0,0.051071592,0,0.0037489545,0,0.02693286,0,0.0033167775,0,0.0037490106,0,0.044811409,0,0.0032360251,0,-0.0065127742,0,0.027131869,0,0.0032424943,0,0.016256863,0,-0.0034787848,0,0.0032907389,0,-0.0065461881,0,-0.0034741934,0,0.1223876,0
2.2e-010,0.04422684,0,0.051000118,0,0.0037483182,0,0.027016448,0,0.0033582873,0,0.0037497219,0,0.044915441,0,0.0032637939,0,-0.0064950981,0,0.02721533,0,0.0032726289,0,0.016305197,0,-0.0035321666,0,0.0033325416,0,-0.0065277643,0,-0.0035291167,0,0.12274539,0
2.3e-010,0.044218481,0,0.050936915,0,0.003735692,0,0.027098186,0,0.003398488,0,0.0037380878,0,0.044935171,0,0.0033017148,0,-0.0064815348,0,0.027295932,0,0.0033116676,0,0.016413884,0,-0.0036033497,0,0.0033737777,0,-0.0065143174,0,-0.0036015322,0,0.12343726,0
2.4e-010,0.044194888,0,0.050911594,0,0.0037118928,0,0.027179569,0,0.0034358138,0,0.0037149296,0,0.044864591,0,0.0033459195,0,-0.0064727995,0,0.027375281,0,0.0033560016,0,0.016574772,0,-0.0036372603,0,0.0034127624,0,-0.0065063844,0,-0.0036360009,0,0.12429169,0
2.5e-010,0.044176597,0,0.050938036,0,0.0036849193,0,0.027262142,0,0.0034703938,0,0.0036884891,0,0.044747785,0,0.00338844,0,-0.0064669251,0,0.027455585,0,0.0033983057,0,0.016740566,0,-0.0036040738,0,0.0034493455,0,-0.0065017589,0,-0.0036024114,0,0.12506981,0
2.6e-010,0.044180356,0,0.051006872,0,0.0036644486,0,0.027346207,0,0.0035039319,0,0.0036686705,0,0.044647411,0,0.0034224563,0,-0.006460336,0,0.027537378,0,0.0034324478,0,0.016849061,0,-0.0035196147,0,0.003484868,0,-0.0064965081,0,-0.0035165872,0,0.12557399,0
2.7e-010,0.044209655,0,0.051091183,0,0.0036552656,0,0.027431402,0,0.0035384404,0,0.0036603939,0,0.04460676,0,0.0034466833,0,-0.0064504086,0,0.027620185,0,0.003457583,0,0.016859503,0,-0.0034347849,0,0.0035210738,0,-0.0064874124,0,-0.0034297707,0,0.12572451,0
2.8e-010,0.044256002,0,0.051161569,0,0.0036539419,0,0.027515527,0,0.0035748628,0,0.0036601033,0,0.044630513,0,0.0034660252,0,-0.0064367559,0,0.02770162,0,0.0034786586,0,0.016776679,0,-0.0034011924,0,0.0035588092,0,-0.0064746211,0,-0.0033941697,0,0.12556714,0
2.9e-010,0.044309229,0,0.051202234,0,0.0036512082,0,0.027597385,0,0.0036123402,0,0.003658246,0,0.044694439,0,0.0034880999,0,-0.0064221495,0,0.027781269,0,0.0035029431,0,0.016646372,0,-0.0034359989,0,0.0035973412,0,-0.0064608767,0,-0.0034276261,0,0.12521815,0
3e-010,0.044368498,0,0.051217902,0,0.0036382412,0,0.027677337,0,0.0036487631,0,0.0036457421,0,0.044773765,0,0.0035180287,0,-0.0064098975,0,0.027858829,0,0.0035350076,0,0.016525391,0,-0.0035101091,0,0.0036348314,0,-0.0064501716,0,-0.0035015349,0,0.12478991,0
3.1e-010,0.044444937,0,0.051227443,0,0.0036127795,0,0.027757347,0,0.003682222,0,0.0036202453,0,0.044866979,0,0.0035550273,0,-0.006402086,0,0.027935736,0,0.0035735152,0,0.016446611,0,-0.0035677252,0,0.0036695744,0,-0.0064449208,0,-0.0035602548,0,0.12434485,0
3.2e-010,0.044552874,0,0.051249616,0,0.0035807043,0,0.027839147,0,0.0037123496,0,0.0035877838,0,0.044996083,0,0.0035931091,0,-0.006398268,0,0.028014071,0,0.0036121192,0,0.016402857,0,-0.0035641864,0,0.0037012014,0,-0.0064444081,0,-0.0035589407,0,0.12390184,0
3.3e-010,0.044695292,0,0.051289693,0,0.003552147,0,0.027923269,0,0.0037406161,0,0.0035586511,0,0.045182686,0,0.0036252856,0,-0.006395672,0,0.028094376,0,0.0036437658,0,0.016360283,0,-0.0034965465,0,0.0037309511,0,-0.0064455643,0,-0.0034941104,0,0.12347828,0
3.4e-010,0.044854283,0,0.051336311,0,0.0035345773,0,0.02800942,0,0.0037694161,0,0.0035404977,0,0.045417894,0,0.0036484695,0,-0.0063914368,0,0.028176108,0,0.0036656009,0,0.016290916,0,-0.0034059705,0,0.0037608824,0,-0.0064444263,0,-0.0034062779,0,0.1231287,0
3.5e-010,0.04499469,0,0.051369812,0,0.0035277086,0,0.028095391,0,0.0038004653,0,0.0035329827,0,0.045650654,0,0.0036656307,0,-0.00638443,0,0.028257009,0,0.0036810099,0,0.016200617,0,-0.0033501687,0,0.0037924605,0,-0.0064393836,0,-0.0033525219,0,0.12294449,0
3.6e-010,0.045080911,0,0.051376868,0,0.0035236655,0,0.028179156,0,0.0038336844,0,0.003527988,0,0.045807231,0,0.0036837133,0,-0.0063762013,0,0.028335165,0,0.0036974314,0,0.016130697,0,-0.0033644643,0,0.0038255919,0,-0.0064317188,0,-0.0033677355,0,0.12301043,0
3.7e-010,0.045097068,0,0.051360093,0,0.0035122472,0,0.028259644,0,0.0038672287,0,0.0035151208,0,0.0458325,0,0.0037088119,0,-0.0063701482,0,0.028410224,0,0.0037213881,0,0.016130166,0,-0.003437734,0,0.0038586443,0,-0.0064253351,0,-0.0034406553,0,0.12334629,0
3.8e-010,0.045057762,0,0.051337335,0,0.0034879802,0,0.02833721,0,0.0038987193,0,0.0034888175,0,0.045726586,0,0.0037418667,0,-0.0063686548,0,0.028483195,0,0.0037540554,0,0.016216034,0,-0.0035197535,0,0.003889587,0,-0.0064235111,0,-0.003521194,0,0.12387527,0
3.9e-010,0.045001458,0,0.051330052,0,0.0034538386,0,0.028414063,0,0.003926849,0,0.0034522703,0,0.045551106,0,0.0037778991,0,-0.0063719298,0,0.02855593,0,0.0037903958,0,0.016349314,0,-0.0035549211,0,0.0039173616,0,-0.0064274394,0,-0.0035542303,0,0.12444512,0
4e-010,0.044969719,0,0.051349271,0,0.0034192845,0,0.028492225,0,0.0039522653,0,0.0034154346,0,0.045397487,0,0.0038093259,0,-0.0063771424,0,0.02863057,0,0.0038225248,0,0.01644587,0,-0.0035198501,0,0.0039425944,0,-0.0064349733,0,-0.0035169029,0,0.12489397,0
4.1e-010,0.044984452,0,0.051388793,0,0.0033937912,0,0.028571403,0,0.0039770915,0,0.003388457,0,0.045335475,0,0.00383115,0,-0.0063807452,0,0.028707355,0,0.0038449634,0,0.016418831,0,-0.0034390036,0,0.0039671883,0,-0.0064425971,0,-0.003434248,0,0.12512287,0
4.2e-010,0.045037653,0,0.051430073,0,0.0033803761,0,0.028650697,0,0.0040035062,0,0.0033746955,0,0.045374032,0,0.003844464,0,-0.00638104,0,0.028784441,0,0.003858309,0,0.01622875,0,-0.0033680431,0,0.003993005,0,-0.0064477469,0,-0.0033622703,0,0.12513246,0
4.3e-010,0.045099989,0,0.051456232,0,0.0033733388,0,0.028728385,0,0.0040321415,0,0.0033685833,0,0.045459986,0,0.0038557912,0,-0.0063783545,0,0.028860213,0,0.0038688106,0,0.015910912,0,-0.0033557545,0,0.0040205605,0,-0.0064501846,0,-0.0033498204,0,0.12500367,0
4.4e-010,0.045142256,0,0.051464919,0,0.0033620091,0,0.02880309,0,0.0040615834,0,0.003359135,0,0.045515671,0,0.0038727394,0,-0.0063763545,0,0.028932948,0,0.0038840682,0,0.015562242,0,-0.0034106981,0,0.0040486623,0,-0.006452295,0,-0.0034052364,0,0.12483716,0
4.5e-010,0.045155939,0,0.051471397,0,0.0033380038,0,0.028874876,0,0.0040891706,0,0.0033373502,0,0.045491379,0,0.0038987584,0,-0.0063785864,0,0.029003415,0,0.0039078495,0,0.015294755,0,-0.0034950566,0,0.0040751253,0,-0.0064572957,0,-0.0034903332,0,0.12469152,0
4.6e-010,0.045158494,0,0.051498923,0,0.003301031,0,0.028945349,0,0.0041126437,0,0.0033022691,0,0.045397401,0,0.0039306772,0,-0.0063866596,0,0.029072514,0,0.0039374763,0,0.015182207,0,-0.0035501726,0,0.0040982673,0,-0.0064669759,0,-0.0035460859,0,0.12455802,0
4.7e-010,0.045180112,0,0.051562808,0,0.0032592702,0,0.029016837,0,0.0041315658,0,0.0032615359,0,0.04529465,0,0.0039606318,0,-0.0063989647,0,0.029142922,0,0.0039655785,0,0.015230271,0,-0.0035365634,0,0.0041179326,0,-0.006479755,0,-0.0035327694,0,0.12438481,0
4.8e-010,0.045240615,0,0.051658224,0,0.0032240287,0,0.029089754,0,0.0041475352,0,0.0032262432,0,0.045249999,0,0.0039812448,0,-0.0064114784,0,0.029215954,0,0.0039850399,0,0.015384848,0,-0.0034610822,0,0.0041355751,0,-0.006492713,0,-0.0034572147,0,0.12412977,0
4.9e-010,0.045332838,0,0.051760491,0,0.003202162,0,0.029163744,0,0.0041630799,0,0.0032033755,0,0.045287598,0,0.0039904844,0,-0.0064205648,0,0.029290535,0,0.0039938204,0,0.015570183,0,-0.0033728103,0,0.0041531287,0,-0.0065026316,0,-0.0033685998,0,0.12380521,0
5e-010,0.04542499,0,0.051838309,0,0.0031913538,0,0.029236842,0,0.0041799997,0,0.0031910643,0,0.045371097,0,0.0039930302,0,-0.0064251511,0,0.029364878,0,0.0039963168,0,0.015731238,0,-0.0033300363,0,0.0041715908,0,-0.0065086456,0,-0.0033253692,0,0.12348348,0
5.1e-010,0.045482069,0,0.05187152,0,0.0031816314,0,0.029307673,0,0.0041982061,0,0.0031798047,0,0.045431126,0,0.0039971187,0,-0.0064271446,0,0.02943767,0,0.004000382,0,0.015855227,0,-0.0033607688,0,0.0041902363,0,-0.0065125739,0,-0.0033555967,0,0.12326033,0
5.2e-010,0.045492783,0,0.051862407,0,0.0031617258,0,0.029376717,0,0.0042158798,0,0.0031588972,0,0.045420919,0,0.0040090191,0,-0.0064304792,0,0.02950808,0,0.0040119998,0,0.015963119,0,-0.0034434374,0,0.0042070155,0,-0.0065178727,0,-0.003437771,0,0.12320045,0
5.3e-010,0.045483779,0,0.05183338,0,0.0031266492,0,0.02944427,0,0.0042307805,0,0.0031236885,0,0.04536175,0,0.0040288866,0,-0.006438463,0,0.02957676,0,0.0040312423,0,0.016082034,0,-0.0035211234,0,0.0042199893,0,-0.0065273736,0,-0.00351502,0,0.12329983,0
5.4e-010,0.045509491,0,0.051812932,0,0.0030808279,0,0.029512838,0,0.0042418269,0,0.0030787122,0,0.045343075,0,0.0040507498,0,-0.0064513939,0,0.029645799,0,0.0040522544,0,0.01622046,0,-0.003539996,0,0.0042287214,0,-0.0065409578,0,-0.0035336302,0,0.12348767,0
5.5e-010,0.045620862,0,0.051818471,0,0.0030350969,0,0.02958349,0,0.0042498191,0,0.0030346706,0,0.045470931,0,0.004066702,0,-0.0064668884,0,0.029716028,0,0.0040673339,0,0.016363151,0,-0.003485756,0,0.0042347317,0,-0.0065560616,0,-0.0034795026,0,0.12366416,0
5.6e-010,0.045831144,0,0.051847789,0,0.0029993609,0,0.029655693,0,0.0042569586,0,0.0030009996,0,0.045793358,0,0.0040724035,0,-0.0064814584,0,0.029787332,0,0.0040722969,0,0.016486477,0,-0.0033936605,0,0.0042406907,0,-0.0065691392,0,-0.0033879853,0,0.12375052,0
5.7e-010,0.046099756,0,0.051883761,0,0.0029758522,0,0.029727656,0,0.0042652641,0,0.0029794693,0,0.046250243,0,0.0040702238,0,-0.0064931079,0,0.029858097,0,0.0040695006,0,0.016579691,0,-0.003324864,0,0.0042487825,0,-0.0065786401,0,-0.0033201473,0,0.12372235,0
5.8e-010,0.046346184,0,0.051908761,0,0.0029577704,0,0.029796463,0,0.0042752521,0,0.0029627723,0,0.04668393,0,0.0040677669,0,-0.0065024327,0,0.029926362,0,0.0040664296,0,0.016653648,0,-0.0033250886,0,0.0042593442,0,-0.0065857568,0,-0.0033213801,0,0.12361251,0
5.9e-010,0.046488211,0,0.05191873,0,0.0029339094,0,0.029861512,0,0.0042855544,0,0.0029394482,0,0.046911228,0,0.004072811,0,-0.0065124133,0,0.02999063,0,0.0040706922,0,0.016729522,0,-0.0033936091,0,0.0042707333,0,-0.0065943641,0,-0.0033904335,0,0.12348904,0
6e-010,0.046484049,0,0.05192725,0,0.0028963685,0,0.029922748,0,0.0042938832,0,0.0029016309,0,0.046819147,0,0.0040879883,0,-0.0065262383,0,0.030052338,0,0.0040848781,0,0.016815748,0,-0.0034835411,0,0.0042804074,0,-0.0066077691,0,-0.0034799667,0,0.12342715,0
6.1e-010,0.046354569,0,0.051956583,0,0.0028459697,0,0.029982075,0,0.0042986502,0,0.0028504862,0,0.046429072,0,0.0041088946,0,-0.0065452489,0,0.030112077,0,0.004104706,0,0.01689209,0,-0.0035335319,0,0.0042866478,0,-0.00662788,0,-0.0035285072,0,0.12348939,0
6.2e-010,0.046173383,0,0.052022543,0,0.0027918308,0,0.030041642,0,0.0043000705,0,0.0027956518,0,0.045891218,0,0.00412683,0,-0.006567955,0,0.030171877,0,0.0041217403,0,0.016915729,0,-0.0035093992,0,0.0042896173,0,-0.0066529079,0,-0.0035022509,0,0.12371752,0
6.3e-010,0.046029992,0,0.052122656,0,0.0027452738,0,0.030101506,0,0.0043000681,0,0.0027488398,0,0.04541022,0,0.0041344799,0,-0.0065909293,0,0.030232212,0,0.0041289208,0,0.016848337,0,-0.0034274817,0,0.0042911377,0,-0.0066788895,0,-0.0034183168,0,0.12412588,0
6.4e-010,0.045986813,0,0.052236199,0,0.0027121706,0,0.03016137,0,0.0043009594,0,0.0027161504,0,0.045143735,0,0.0041306596,0,-0.0066116685,0,0.03029207,0,0.0041251499,0,0.016687103,0,-0.0033437961,0,0.0042933663,0,-0.0067028748,0,-0.0033335818,0,0.12468902,0
6.5e-010,0.046053182,0,0.052335873,0,0.0026891034,0,0.030218851,0,0.0043038307,0,0.0026940312,0,0.045130953,0,0.0041209678,0,-0.0066302917,0,0.030349605,0,0.004115887,0,0.016477156,0,-0.0033160914,0,0.0042971303,0,-0.0067238198,0,-0.0033063011,0,0.12532729,0
6.6e-010,0.046189122,0,0.052403595,0,0.0026657714,0,0.030272933,0,0.0043076887,0,0.0026717512,0,0.045289095,0,0.0041139466,0,-0.0066487659,0,0.030403502,0,0.004109337,0,0.016294206,0,-0.003364539,0,0.0043012267,0,-0.0067436327,0,-0.0033565394,0,0.12590657,0
6.7e-010,0.046333797,0,0.052439541,0,0.0026321467,0,0.030323321,0,0.0043100254,0,0.0026388494,0,0.045475803,0,0.0041152835,0,-0.0066704587,0,0.030454064,0,0.0041108406,0,0.016205028,0,-0.0034577642,0,0.0043030712,0,-0.006765442,0,-0.0034522351,0,0.12626895,0
6.8e-010,0.046440445,0,0.052458961,0,0.0025854434,0,0.030372396,0,0.0043084035,0,0.0025921331,0,0.045576334,0,0.0041240659,0,-0.0066970987,0,0.030503372,0,0.0041192635,0,0.016229892,0,-0.0035339447,0,0.0043003764,0,-0.0067910659,0,-0.0035306443,0,0.12629299,0
6.9e-010,0.04649796,0,0.052478947,0,0.0025321986,0,0.030421592,0,0.0043020174,0,0.002538108,0,0.045564074,0,0.0041334964,0,-0.0067272857,0,0.030553158,0,0.0041278503,0,0.016330857,0,-0.0035427061,0,0.0042926921,0,-0.0068200282,0,-0.0035406724,0,0.12596038,0
7e-010,0.046528492,0,0.052504886,0,0.0024838245,0,0.030473052,0,0.0042922562,0,0.0024885337,0,0.045500863,0,0.0041356711,0,-0.0067578,0,0.030604314,0,0.0041289669,0,0.016434165,0,-0.0034795869,0,0.0042817746,0,-0.006849288,0,-0.0034777974,0,0.12538974,0
7.1e-010,0.046566091,0,0.05252564,0,0.0024488922,0,0.030525884,0,0.004281756,0,0.0024525109,0,0.045483328,0,0.0041270703,0,-0.0067851851,0,0.030656902,0,0.0041194614,0,0.016473291,0,-0.0033893727,0,0.0042705992,0,-0.0068758661,0,-0.0033874074,0,0.12480845,0
7.2e-010,0.046631493,0,0.052521378,0,0.0024271316,0,0.030578297,0,0.0042727473,0,0.0024304078,0,0.045572713,0,0.0041110739,0,-0.0068085468,0,0.030708713,0,0.0041030147,0,0.016425502,0,-0.0033359583,0,0.00426151,0,-0.0068985098,0,-0.0033343169,0,0.12446437,0
7.3e-010,0.046718869,0,0.052478913,0,0.0024095553,0,0.030628148,0,0.0042656022,0,0.0024136207,0,0.045753062,0,0.004095675,0,-0.0068298522,0,0.030757844,0,0.0040877517,0,0.016319599,0,-0.0033588696,0,0.0042548543,0,-0.0069192164,0,-0.0033588405,0,0.12451489,0
7.4e-010,0.046800852,0,0.052404102,0,0.0023844671,0,0.030674899,0,0.0042587239,0,0.0023904885,0,0.045940883,0,0.0040880027,0,-0.0068530352,0,0.030803993,0,0.0040807966,0,0.016211143,0,-0.0034461073,0,0.0042488892,0,-0.0069410559,0,-0.0034490982,0,0.12494986,0
7.5e-010,0.046846643,0,0.052322868,0,0.0023456148,0,0.030719565,0,0.0042496892,0,0.0023543399,0,0.046036318,0,0.0040893005,0,-0.0068808375,0,0.030848058,0,0.0040833242,0,0.016143097,0,-0.0035417269,0,0.0042410311,0,-0.0069670971,0,-0.003548529,0,0.1255921,0
7.6e-010,0.04684028,0,0.052269552,0,0.0022965907,0,0.030764766,0,0.0042369473,0,0.0023081491,0,0.045980282,0,0.0040938351,0,-0.0069131996,0,0.030893015,0,0.0040896172,0,0.016118992,0,-0.0035835286,0,0.0042295782,0,-0.0069970726,0,-0.0035937671,0,0.12617856,0
7.7e-010,0.046788525,0,0.052270077,0,0.0022488676,0,0.030812234,0,0.0042208848,0,0.0022625916,0,0.045782894,0,0.0040925909,0,-0.0069469921,0,0.030940477,0,0.0040907483,0,0.016106477,0,-0.0035451802,0,0.0042148163,0,-0.0070281504,0,-0.0035573584,0,0.12648213,0
7.8e-010,0.046715222,0,0.052330114,0,0.0022142455,0,0.030862978,0,0.0042035333,0,0.0022288905,0,0.045508992,0,0.0040792217,0,-0.0069773872,0,0.030990858,0,0.0040804599,0,0.016067648,0,-0.0034544435,0,0.0041987188,0,-0.0070562181,0,-0.0034664532,0,0.12641037,0
7.9e-010,0.046648145,0,0.052435622,0,0.0021970798,0,0.030915987,0,0.0041871369,0,0.002211147,0,0.04523626,0,0.0040543885,0,-0.007001345,0,0.031042552,0,0.0040593678,0,0.015994044,0,-0.003374716,0,0.0041834693,0,-0.0070784152,0,-0.0033845564,0,0.12603222,0
8e-010,0.046607967,0,0.052564349,0,0.0021913752,0,0.030969355,0,0.0041725943,0,0.002203512,0,0.045015734,0,0.0040254742,0,-0.0070192232,0,0.031093886,0,0.0040345257,0,0.015920296,0,-0.0033622338,0,0.0041699358,0,-0.0070953667,0,-0.0033687328,0,0.12552339,0
8.1e-010,0.046605155,0,0.052700371,0,0.0021847244,0,0.031021172,0,0.0041588368,0,0.0021941026,0,0.04485954,0,0.0040018838,0,-0.0070341807,0,0.031143792,0,0.0040147714,0,0.015905688,0,-0.0034279109,0,0.0041570328,0,-0.0071105901,0,-0.0034309428,0,0.12506802,0
8.2e-010,0.046644073,0,0.052841984,0,0.002166678,0,0.031072276,0,0.0041435282,0,0.0021730594,0,0.044757575,0,0.0039890083,0,-0.0070506283,0,0.031192385,0,0.0040048435,0,0.015994694,0,-0.0035296311,0,0.0041424758,0,-0.0071281376,0,-0.0035299144,0,0.12477356,0
8.3e-010,0.04672797,0,0.052998368,0,0.0021356693,0,0.031123616,0,0.0041247918,0,0.0021393949,0,0.044704862,0,0.0039848946,0,-0.0070709502,0,0.031241992,0,0.0040023373,0,0.016183471,0,-0.0036005785,0,0.0041243928,0,-0.0071504535,0,-0.0035991531,0,0.12464382,0
8.4e-010,0.04685935,0,0.053178363,0,0.0021000786,0,0.031177282,0,0.0041025514,0,0.0021017776,0,0.04471508,0,0.0039818413,0,-0.0070943125,0,0.03129464,0,0.0039995103,0,0.016415967,0,-0.0035945112,0,0.0041027018,0,-0.0071763163,0,-0.003592219,0,0.12461478,0
