!CSV A.01.01
!Keysight Technologies,N5231B,MY58421610,A.17.35.05
!Date: Tuesday, August 13, 2024 16:27:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd22(DB),Sdd22(DEG),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
148351643,-29.162882,161.61035,-11.356409,-174.8922,-14.817289,-168.24115,2.0233197,89.348969,-21.945251,-53.168854,-14.851572,-168.5921,-9.9575033,-113.98206,-25.095833,-34.104336,-2.9570885,103.85851,2.0346618,89.290535,-25.052387,-33.795658,-16.767519,152.34171,-17.724138,172.78233,-21.926414,-53.002117,-2.9315016,104.00727,-17.730644,172.76051,-14.166,-176.28868
161838156,-20.835516,40.353035,-11.326612,156.74811,-14.519619,171.04555,1.8958927,65.07048,-23.942183,-75.738388,-14.557178,170.87282,-17.843565,-118.08903,-25.105913,-60.682613,-2.4204364,80.944496,1.8994787,65.02594,-25.063391,-60.52898,-16.763901,130.00291,-17.362919,152.71341,-23.902433,-75.727562,-2.3926845,81.024673,-17.365829,152.72878,-17.660931,93.954216
175324669,-16.98012,-0.21741435,-11.862546,130.5665,-13.978951,148.59157,1.6325946,41.522747,-23.892445,-98.748611,-14.005295,148.50438,-24.074133,22.160898,-24.522619,-95.318901,-2.1698687,55.410244,1.6351229,41.468781,-24.49526,-95.281433,-17.967567,110.45367,-17.064877,132.86801,-23.870632,-98.932617,-2.1492162,55.425476,-17.069345,132.91295,-15.847693,32.183483
188811182,-19.144217,-29.275785,-12.902265,111.61381,-13.575608,125.66923,1.7683793,18.459906,-26.430166,-90.559074,-13.592978,125.63947,-17.843355,41.349735,-28.346565,-103.07607,-1.8889407,30.49544,1.7679765,18.404715,-28.326403,-103.11182,-18.787634,86.701927,-16.858065,107.11893,-26.454655,-90.668144,-1.8733671,30.471622,-16.856276,107.17289,-18.887304,27.050436
202297695,-29.381491,-39.413937,-14.954615,90.499969,-14.130229,98.836563,1.7665162,-6.7105203,-20.80549,-106.59669,-14.142676,98.832703,-15.61982,72.734581,-24.261656,-106.83909,-1.7786664,4.05896,1.7607362,-6.765058,-24.257307,-106.89962,-19.151329,58.972092,-16.748295,80.960716,-20.812811,-106.55978,-1.7655433,4.0148845,-16.73995,81.012085,-16.174635,74.614288
215784208,-29.155199,68.222038,-16.964197,75.042801,-15.063361,72.611145,1.5919064,-31.294527,-18.893068,-144.38733,-15.071066,72.618744,-11.923992,86.010963,-21.705767,-140.66383,-2.0053744,-21.532106,1.581808,-31.350965,-21.709583,-140.70554,-20.345118,30.403337,-17.723488,53.849823,-18.891888,-144.39447,-1.9985211,-21.59803,-17.710629,53.846119,-12.186653,66.903938
229270721,-30.683189,54.235741,-18.814583,79.322197,-16.916542,58.119732,1.4669145,-56.018494,-18.086641,-170.74054,-16.921364,58.121197,-11.4946,84.262558,-20.450811,-167.65828,-2.0754309,-45.975407,1.4567482,-56.008308,-20.458216,-167.64807,-23.769583,25.506454,-19.337158,41.950699,-18.089594,-170.75763,-2.0747056,-46.026188,-19.328648,41.898792,-13.426122,50.225376
242757234,-29.937639,-160.4715,-15.414638,87.72924,-16.259842,62.918972,0.93318552,-80.158813,-15.753366,147.65092,-16.260031,62.902824,-13.738322,87.728142,-17.867554,148.74217,-2.4634497,-70.63073,0.92629063,-80.114777,-17.875071,148.80272,-22.483479,47.566151,-18.041737,42.422371,-15.756503,147.63174,-2.4672861,-70.638039,-18.039114,42.359215,-18.526745,51.10854
256243747,-20.357386,-177.39452,-12.64348,34.326679,-12.029808,20.79965,0.94984347,-98.349419,-19.830914,80.386406,-12.026901,20.769962,-17.729465,42.495274,-21.552513,78.236473,-2.1258612,-89.971481,0.94884825,-98.284927,-21.554129,78.324982,-18.400003,2.3411944,-14.410344,4.2583065,-19.837341,80.394676,-2.1297626,-89.931274,-14.41195,4.206429,-23.197643,12.060087
269730260,-16.65658,-173.66539,-17.601746,1.418883,-15.479777,-16.12178,1.3511976,-123.83498,-27.263552,74.680405,-15.4529,-16.304653,-13.414459,-100.85069,-30.209194,93.625885,-3.1987112,-115.99657,1.3555706,-123.79666,-30.233263,93.853165,-22.542089,-50.317932,-16.317024,-30.683327,-27.228664,74.945023,-3.2110288,-115.89343,-16.326675,-30.749352,-16.360266,-120.49406
283216773,-19.30191,144.50844,-20.464523,-23.494127,-14.824489,-38.324902,1.3708241,-147.96744,-25.18815,104.76913,-14.838044,-38.408463,-21.038353,-122.6136,-28.244383,98.412865,-1.7224935,-137.52232,1.3782372,-147.98181,-28.225258,98.506355,-25.471739,-84.336311,-17.200274,-55.105152,-25.200703,104.8127,-1.7141652,-137.40816,-17.209606,-55.062241,-25.510185,-116.65215
296703286,-23.5898,133.1277,-29.227114,-16.606773,-17.285143,-73.014717,1.412037,-173.73578,-20.782253,92.477196,-17.300814,-73.039986,-20.127602,-33.049156,-22.855152,89.479881,-1.626182,-168.66286,1.4164474,-173.74416,-22.835981,89.485878,-31.331408,-124.23091,-19.340673,-77.175652,-20.783682,92.552742,-1.6099825,-168.5683,-19.345581,-77.091515,-20.419991,-106.54564
310189799,-29.072132,-23.049419,-22.419518,46.984089,-22.481319,-87.384338,1.2094404,160.26802,-16.476866,59.133873,-22.511887,-87.475166,-12.546012,-58.005756,-19.645884,64.871414,-2.2429979,172.23724,1.2099506,160.25308,-19.619947,64.943794,-34.886806,12.461281,-21.820269,-92.484497,-16.473726,59.241776,-2.2185042,172.32201,-21.807076,-92.341667,-14.078011,-78.230164
323676312,-36.878563,-33.345798,-13.486704,16.528961,-23.467915,-19.552053,0.34628147,133.73975,-12.417697,15.677831,-23.485903,-19.484344,-13.610939,-34.498882,-14.879218,18.477917,-2.691731,143.72232,0.34185302,133.75874,-14.866278,18.440994,-19.115517,-33.682976,-18.92811,-63.771523,-12.406333,15.756989,-2.6636202,143.71831,-18.917896,-63.756134,-15.882763,-78.5485
337162825,-23.855227,32.122787,-12.283436,-73.113388,-12.488128,-93.923401,0.29172403,121.50813,-15.433055,-71.761063,-12.497028,-93.823975,-11.549709,-53.406914,-18.138037,-67.62468,-2.8743978,132.81841,0.29478091,121.5834,-18.124628,-67.6502,-17.529045,-123.59199,-13.575193,-128.11591,-15.412395,-71.710297,-2.8457143,132.74881,-13.557941,-128.14909,-15.419764,-116.9618
350649338,-18.292595,13.065952,-22.658953,-132.35381,-15.641386,-150.16432,1.0734887,95.056343,-28.58526,-71.732361,-15.639316,-150.06822,-22.270935,-17.166454,-29.24494,-67.923172,-1.6924138,105.55289,1.0814093,95.124176,-29.239071,-67.965454,-24.548275,-168.48912,-16.659292,-167.66307,-28.564308,-71.782372,-1.6793735,105.40607,-16.651287,-167.76424,-40.861046,28.416649
364135851,-17.3731,-11.174496,-33.999325,-43.982044,-19.617287,-174.11188,1.0266708,69.183357,-23.290253,-47.422218,-19.607441,-174.07573,-18.038225,34.708969,-25.801502,-49.770115,-1.8071982,78.855072,1.0399743,69.231094,-25.801693,-49.755775,-30.029829,-176.69403,-18.012766,171.38411,-23.284624,-47.52174,-1.8082095,78.72419,-18.016294,171.24889,-26.001205,-14.665538
377622364,-20.33531,-44.033737,-37.619076,-27.92552,-18.790796,154.92075,1.1217203,44.783367,-21.757282,-51.087906,-18.779833,154.89078,-20.671391,62.963688,-24.501818,-51.221104,-1.4797572,54.138855,1.1385727,44.789772,-24.497097,-51.176819,-44.975998,-153.40784,-19.698387,139.04871,-21.760424,-51.191582,-1.4900987,54.052128,-19.714708,138.9305,-37.398232,160.45479
391108877,-26.644497,-90.230453,-26.479315,-37.994419,-20.107077,113.4048,1.035006,19.209734,-18.183825,-77.952484,-20.102867,113.31479,-20.856585,106.81326,-20.652081,-76.577873,-1.5483693,26.799185,1.0484036,19.161482,-20.643587,-76.537697,-33.609535,-102.97581,-21.391201,112.76313,-18.195618,-78.044662,-1.5640013,26.786648,-21.414961,112.72414,-19.639647,126.12223
404595390,-30.079945,-171.53099,-19.3647,-72.302406,-24.8822,65.07267,0.91570407,-5.8936548,-16.564171,-104.57686,-24.887234,64.957672,-19.267027,123.91882,-18.558928,-100.98988,-1.6972265,2.4055345,0.92217869,-5.9706206,-18.547255,-100.94839,-25.681969,-130.06174,-25.837303,102.47186,-16.579046,-104.63518,-1.7064936,2.4676664,-25.855391,102.49397,-17.099556,111.23998
418081903,-32.142509,-158.76918,-17.18973,-90.386833,-26.434328,-8.1859465,0.084306031,-34.200397,-11.7034,-145.44203,-26.449804,-8.2854099,-25.880419,164.96649,-13.656745,-144.81653,-2.4821801,-25.815693,0.081943259,-34.266605,-13.644837,-144.7926,-22.798798,-167.47513,-26.074585,124.08384,-11.720345,-145.44873,-2.4839101,-25.731693,-26.093962,124.12425,-21.32818,111.16979
431568416,-24.233221,-149.82536,-18.292398,-171.63031,-20.302607,130.20595,-0.092392676,-42.342823,-15.167766,116.27087,-20.322649,130.17613,-17.144114,-176.21379,-17.278677,115.85249,-2.7793148,-33.148705,-0.099765301,-42.379894,-17.265636,115.84573,-23.949293,86.25383,-17.725746,63.130783,-15.184937,116.32372,-2.7757699,-33.062759,-17.735657,63.223839,-19.420225,86.328606
445054929,-20.653112,-167.12491,-21.645294,-105.66947,-26.397781,24.079718,0.71866322,-71.584702,-24.256346,148.59915,-26.421,24.134897,-17.208399,-111.91273,-26.524055,145.74731,-1.8224992,-62.898155,0.70699674,-71.570885,-26.518459,145.72832,-31.066193,80.243393,-20.836266,27.233751,-24.270643,148.70943,-1.81361,-62.828392,-20.835167,27.320559,-31.02676,149.29504
458541442,-21.119734,161.97786,-21.482903,-150.05504,-28.074793,38.39069,0.70973361,-95.931877,-23.518812,137.10699,-28.090446,38.469849,-16.772152,-116.7337,-26.216352,136.3968,-1.7178248,-86.890152,0.69852358,-95.855072,-26.210333,136.38933,-45.560516,56.626492,-21.473541,-16.112665,-23.525045,137.2253,-1.7050318,-86.845642,-21.467262,-16.057545,-41.437141,157.82605
472027955,-26.897608,112.21962,-23.527493,-135.51601,-22.627626,-27.25913,0.74520165,-122.08373,-19.177677,135.2691,-22.637774,-27.142876,-17.1236,-82.421349,-21.647869,136.92352,-1.5733993,-113.70135,0.73918992,-121.96218,-21.645439,136.92619,-43.751293,103.44786,-23.012417,-44.240067,-19.171906,135.40582,-1.5568717,-113.68276,-22.997618,-44.215191,-22.859316,-17.256073
485514468,-28.557161,-1.0757537,-20.00091,-137.64848,-20.259106,-80.455589,0.48904091,-146.30904,-17.579521,98.627594,-20.260618,-80.336266,-15.301575,-71.508583,-19.993164,101.49899,-1.8240843,-138.31424,0.49059212,-146.16077,-19.991901,101.51306,-33.130013,171.92412,-25.49086,-98.347298,-17.5646,98.709084,-1.8067005,-138.35904,-25.473408,-98.397873,-17.303097,-53.572227
499000981,-24.745964,-47.287399,-20.424686,-152.07718,-21.229124,-107.32294,0.65193409,-171.50096,-16.635252,87.830498,-21.22315,-107.21223,-15.820049,-72.263123,-18.459381,90.441681,-1.6760648,-163.88455,0.66301203,-171.35141,-18.455715,90.479431,-31.916016,-77.648117,-25.215786,-97.946693,-16.617027,87.857552,-1.6635728,-163.966,-25.206911,-98.063187,-14.960425,-71.106575
512487494,-26.403507,-65.496147,-14.393027,-155.38966,-17.078577,-139.30321,0.12262063,160.70647,-12.64802,53.752934,-17.063377,-139.22816,-16.669357,-119.66366,-14.521029,54.304146,-2.167978,168.23566,0.14241327,160.84209,-14.517567,54.36311,-23.329432,-144.68066,-21.423096,-151.54898,-12.629703,53.756279,-2.164217,168.16512,-21.42548,-151.69514,-17.121164,-112.83723
525974007,-32.936275,-69.811745,-10.895239,129.23035,-15.084085,122.33183,-1.3849115,149.97932,-11.798403,-33.274464,-15.065752,122.32997,-14.254156,125.49627,-13.47623,-33.215927,-3.8019373,158.48723,-1.3544034,150.06209,-13.465678,-33.133717,-28.156973,55.138924,-26.992224,76.454811,-11.773752,-33.32185,-3.7953405,158.44244,-26.999153,76.300148,-34.453072,41.116287
539460520,-35.00845,-44.863789,-16.694159,124.151,-25.924204,112.85707,0.33642071,123.7959,-23.452421,-34.170834,-25.910343,112.78294,-15.78125,122.6263,-25.729332,-38.404945,-1.8315862,131.57808,0.36958554,123.80741,-25.713102,-38.323212,-30.607012,-136.78702,-30.987446,-170.42987,-23.434837,-34.274307,-1.826822,131.54791,-31.002176,-170.50807,-35.504715,-122.20579
552947033,-31.12488,-147.61745,-19.093096,132.9774,-30.221498,164.20174,0.56475061,97.523735,-22.43981,-13.443689,-30.217861,164.12573,-15.553214,132.2625,-24.721424,-10.498053,-1.5760584,105.10973,0.59744227,97.438499,-24.69697,-10.476661,-26.149105,173.79701,-28.010777,148.41188,-22.431925,-13.5622,-1.5687693,105.0931,-28.028654,148.38159,-23.617989,174.29674
566433546,-21.999149,168.32149,-15.20747,131.86151,-21.495451,145.6342,0.32620516,71.479401,-17.975304,-39.166977,-21.504456,145.51373,-12.791555,146.32338,-20.114252,-37.541512,-1.8180641,78.500107,0.34985146,71.304863,-20.084898,-37.591602,-21.308123,131.00575,-23.525854,107.33533,-17.975702,-39.325073,-1.8097569,78.471039,-23.546703,107.35252,-15.501717,145.81627
579920059,-17.827885,145.38742,-13.778962,111.37111,-20.570776,110.44497,0.26942751,48.523914,-18.717691,-67.162392,-20.588554,110.3591,-11.328705,142.97029,-20.796988,-63.515385,-1.9685168,55.746666,0.27607393,48.305317,-20.773537,-63.647144,-21.600285,117.98623,-26.095181,73.913353,-18.732384,-67.27317,-1.9624873,55.724575,-26.113571,74.025627,-13.087843,130.85794
593406572,-16.936745,122.12137,-11.919291,101.33434,-18.95656,99.337891,0.2975775,22.375019,-16.44772,-81.276726,-18.98131,99.301331,-10.892253,128.94911,-18.183613,-79.45269,-1.9397967,30.207321,0.2841565,22.172714,-18.173855,-79.623207,-17.333151,96.433487,-21.751945,64.985344,-16.47121,-81.272141,-1.9374691,30.243631,-21.761105,65.197845,-11.605103,104.82992
606893085,-18.290236,100.85168,-9.2437325,78.341339,-15.715928,75.025375,-0.11126629,-3.9450827,-13.852063,-111.64218,-15.739915,75.064911,-11.31792,96.313873,-15.571842,-111.05122,-2.2221599,4.642518,-0.13765386,-4.0420938,-15.574631,-111.19343,-15.103799,56.18729,-17.914852,30.106125,-13.864587,-111.50465,-2.2087579,4.7329931,-17.899946,30.34577,-12.614183,70.988159
620379598,-20.471657,77.037697,-6.4427638,34.818016,-11.375562,24.427225,-1.7533536,-25.661322,-10.858272,-168.19531,-11.390153,24.557583,-9.7221184,38.54084,-12.706566,-168.61421,-3.6510317,-17.232542,-1.7796977,-25.653639,-12.719555,-168.73891,-13.448672,-13.339364,-13.425707,-32.890793,-10.846637,-168.06679,-3.6237831,-17.236053,-13.385659,-32.770824,-14.212873,0.58826333
633866111,-20.717867,46.26783,-12.983648,-0.95947361,-18.776518,-51.728653,0.0042002965,-39.453613,-22.729786,126.08345,-18.782284,-51.576725,-13.247936,-3.1222289,-25.009163,125.04845,-1.8921467,-31.862415,-0.022526305,-39.332718,-25.031912,125.03593,-31.877113,-0.31705511,-22.443659,-125.11652,-22.71913,126.18119,-1.8731503,-31.920439,-22.405001,-125.15056,-35.124352,32.729088
647352624,-18.203432,16.579088,-12.000465,8.3842268,-25.510828,-20.07126,0.25834715,-68.608154,-21.407951,-176.75931,-25.50466,-19.940357,-11.697574,5.8693905,-23.312443,-174.50996,-1.6332951,-61.555965,0.24408185,-68.404144,-23.33322,-174.42102,-18.156322,0.53089607,-30.603731,-47.00795,-21.393923,-176.75851,-1.6216242,-61.676788,-30.572481,-47.20108,-16.222691,9.5896502
660839137,-15.435267,-8.060689,-10.239928,-9.7825594,-21.546083,-27.272942,-0.035949711,-94.120476,-18.057516,152.35211,-21.536642,-27.214893,-9.4236603,1.5371783,-19.883133,154.74675,-1.963359,-87.286308,-0.034917273,-93.874985,-19.892899,154.9205,-15.901832,-32.848396,-23.247021,-77.022736,-18.055965,152.31061,-1.969455,-87.398628,-23.245197,-77.298447,-12.057825,-22.300524
674325650,-13.812412,-31.716694,-10.102843,-25.39061,-22.201494,-42.028408,-0.0041426946,-118.31288,-17.761875,134.51462,-22.19264,-42.01672,-8.6342897,-6.2300959,-19.407564,135.72894,-2.0413766,-111.29143,0.016433381,-118.0672,-19.399956,135.96053,-15.037364,-50.763893,-23.69799,-96.755562,-17.766626,134.53838,-2.0552053,-111.2968,-23.719343,-96.979202,-10.417027,-43.320774
687812163,-13.565794,-55.296452,-9.0215092,-44.161457,-20.634672,-55.443775,-0.22849239,-144.29944,-15.440942,109.88525,-20.62945,-55.47081,-8.7446842,-22.248533,-17.113565,110.45922,-2.2593553,-136.04417,-0.18773155,-144.12648,-17.081835,110.66571,-13.254395,-77.326996,-21.272549,-118.21831,-15.440898,109.94427,-2.2651436,-135.95316,-21.309391,-118.32411,-10.316396,-68.95723
701298676,-14.020597,-78.743683,-7.7351165,-69.506851,-18.43055,-79.174133,-0.96561658,-168.3405,-13.60109,69.949463,-18.431803,-79.238869,-9.6366234,-50.232471,-15.365107,70.221855,-2.77636,-159.28664,-0.91588426,-168.34187,-15.316181,70.283287,-12.108105,-104.71161,-19.779295,-144.31601,-13.594203,69.995407,-2.7681634,-159.17744,-19.820829,-144.26485,-11.336423,-95.388649
714785189,-14.72753,-102.97157,-8.2448425,-96.619339,-21.139898,-113.53674,-0.89751863,172.66444,-16.16851,35.361755,-21.150515,-113.59417,-11.273841,-86.166458,-17.995039,36.44223,-2.5557435,-179.27449,-0.86259174,172.49477,-17.950487,36.333477,-12.364733,-137.82692,-17.902964,173.57777,-16.166891,35.383675,-2.5407348,-179.18991,-17.934263,173.78189,-12.782445,-132.97105
728271702,-14.617188,-125.56567,-7.3189149,-122.4558,-18.499828,-143.65114,-1.0907441,151.50839,-16.27673,-4.49823,-18.519676,-143.64725,-9.7491417,-120.79515,-17.971638,-3.8007169,-2.7556398,159.06705,-1.0785172,151.31552,-17.944155,-3.9982898,-16.062151,-168.78711,-17.479618,110.22742,-16.274828,-4.4323025,-2.7338331,159.11993,-17.486998,110.48762,-16.123741,-172.19298
741758215,-13.525012,-148.84984,-9.4059973,-137.07431,-28.092234,178.44844,-0.14899802,126.66747,-21.540396,13.355,-28.109686,178.56506,-10.1638,-134.88649,-23.244133,14.890653,-1.8382543,133.76788,-0.15395905,126.53255,-23.235266,14.668056,-14.807212,-156.12473,-30.150383,96.16275,-21.535156,13.446024,-1.8127879,133.76103,-30.135866,96.382202,-13.249808,-157.68558
755244728,-12.449282,-173.66158,-9.642684,-151.57416,-31.338848,176.96771,-0.36497483,99.660332,-17.082968,-6.5861316,-31.348877,177.14909,-9.1227083,-143.61478,-18.673481,-5.1947021,-2.0842092,107.18067,-0.37523493,99.642242,-18.675915,-5.362071,-13.852426,175.16371,-26.902735,100.25507,-17.067425,-6.5063906,-2.0576954,107.11233,-26.874722,100.36117,-10.78984,176.17317
768731241,-11.915152,162.1868,-10.72224,-162.30353,-32.491486,-54.181404,-0.6415233,74.453339,-15.111356,-32.954746,-32.498627,-54.051849,-9.3477774,-150.91881,-16.798811,-33.294384,-2.3616481,82.357513,-0.64777637,74.487839,-16.806311,-33.394783,-13.411875,153.67856,-30.60672,78.683914,-15.088506,-32.952263,-2.33705,82.215706,-30.577572,78.672432,-10.341361,157.06718
782217754,-12.219569,139.06979,-9.2503271,-176.60448,-21.649303,-111.91785,-1.2035835,51.254982,-13.942219,-70.750313,-21.644421,-111.7907,-9.2595615,-161.93265,-15.841818,-70.39798,-2.8464963,59.77113,-1.2044121,51.308456,-15.849649,-70.462952,-12.052961,132.49722,-31.166491,111.54546,-13.923031,-70.842422,-2.8327515,59.555164,-31.144136,111.4113,-10.725117,139.64757
795704267,-13.047308,117.78577,-8.3001709,148.17464,-22.888878,-167.74788,-1.2217022,31.179333,-15.792503,-104.78455,-22.879026,-167.63867,-10.446784,167.59824,-17.642813,-103.10954,-2.6915557,39.847294,-1.2237656,31.228172,-17.658653,-103.15358,-10.749553,100.33639,-21.844889,69.640373,-15.788516,-104.92977,-2.6990619,39.599895,-21.835577,69.444809,-11.106377,110.83399
809190780,-13.752651,96.605499,-8.9311476,123.28869,-25.087147,-173.6767,-1.005993,6.9140544,-16.384029,-117.85815,-25.050499,-173.46352,-12.405123,135.21198,-18.114546,-114.68522,-2.3737643,14.873405,-1.0094973,7.0271163,-18.140928,-114.65517,-12.419989,71.303528,-21.725088,7.4440541,-16.387899,-117.78836,-2.4036846,14.715779,-21.747858,7.1630039,-13.740764,79.137695
822677293,-13.605296,73.626328,-10.350623,117.7522,-18.598686,-152.83614,-1.4255669,-18.025663,-14.474106,-148.2374,-18.572874,-152.81644,-13.585093,120.24727,-15.906204,-145.59077,-2.7879303,-9.9662113,-1.4214419,-17.852751,-15.922058,-145.37013,-16.091568,49.208439,-20.986458,-66.723007,-14.501175,-148.17548,-2.8246112,-10.022269,-21.010424,-67.028267,-16.719206,54.009228
836163806,-12.714326,48.729122,-8.1440706,96.631874,-18.307369,148.88257,-1.5756215,-37.230778,-16.586395,172.45782,-18.297121,148.77382,-10.333396,94.757561,-17.996462,172.98123,-2.697953,-29.842821,-1.5628126,-37.05291,-17.993786,173.17798,-13.963517,62.817699,-25.279026,170.40279,-16.590843,172.53143,-2.7233269,-29.73489,-25.309711,170.30283,-13.311518,60.421875
849650319,-11.94981,24.592922,-8.8480759,70.583366,-21.168741,128.80849,-1.2230132,-60.297157,-18.21538,160.22649,-21.167337,128.64482,-10.011207,76.706429,-19.689413,160.35748,-2.4707236,-54.769253,-1.1970103,-60.237816,-19.674313,160.36803,-11.565472,31.662388,-28.006544,83.644386,-18.224174,160.39262,-2.4832103,-54.560768,-28.031019,83.584717,-10.855372,31.771345
863136832,-11.925151,3.2567041,-10.045216,52.367886,-19.869722,129.34119,-1.2259374,-83.937508,-17.43738,138.73698,-19.881964,129.23586,-10.634596,67.482666,-19.225334,137.80122,-2.6686182,-78.734886,-1.2022612,-83.969772,-19.198076,137.86758,-10.886089,1.5590684,-27.771736,12.208844,-17.449099,138.95905,-2.663682,-78.507301,-27.809631,12.464747,-10.376384,7.2904305
876623345,-12.621028,-14.975145,-9.9308872,25.786097,-19.656954,93.045662,-1.0324957,-106.30647,-19.488846,108.03493,-19.69611,92.923782,-11.138448,47.687756,-21.869041,112.08967,-2.5320971,-99.486069,-1.0272636,-106.41239,-21.838221,112.12387,-12.065584,-26.072195,-29.924662,-77.551407,-19.503767,108.14648,-2.5083551,-99.244774,-29.967802,-77.399445,-11.944252,-16.87995
